0.2464444 0 0 1 1 1 1 1
0.2348889 0 0 0 0 1 1 1
0.187 0 0 0 0 1 0 1
0.1381111 0 0 0 1 1 1 1
0.03777778 0 0 1 1 1 0 1
0.03033333 0 0 0 1 1 0 1
0.02688889 0 0 1 1 1 1 0
0.02555556 0 0 1 0 1 1 1
0.01555556 0 0 0 1 1 1 0
0.015 0 0 0 0 1 1 0
0.006777778 0 0 0 0 1 0 0
0.006777778 0 0 0 0 0 1 1
0.006666667 0 0 1 0 1 0 1
0.004111111 0 0 1 1 0 1 1
0.003333333 0 0 0 0 0 0 1
0.003 0 0 1 1 1 0 0
0.002777778 0 0 0 1 0 1 1
0.002777778 0 0 1 0 1 1 0
0.002 0 0 0 1 1 0 0
0.0007777778 0 0 0 0 0 1 0
0.0006666667 0 0 1 1 0 0 1
0.0006666667 0 0 0 1 0 0 1
0.0004444444 0 0 1 0 1 0 0
0.0004444444 0 0 1 1 0 1 0
0.0003333333 0 0 1 0 0 1 1
0.0002222222 0 0 0 1 0 1 0
0.0002222222 0 0 0 0 0 0 0
0.0002222222 0 0 1 0 0 1 0
0.0001111111 0 0 1 1 0 0 0
0.0001111111 0 0 1 0 0 0 1
